01	01	01	A1	00	18	A0	18	A0	D1	D1	A0	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
02	01	02	A0	00	18	A0	18	A0	DD	DD	A0	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
03	01	03	A1	00	18	A0	18	A0	E9	E9	A0	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
04	01	04	A1	00	18	A0	18	A0	F5	F5	A0	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
05	02	05	A1	00	18	A1	18	A1	02	02	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
06	02	06	A1	00	18	A1	18	A1	F	0F	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
07	02	07	A1	00	18	A1	18	A1	1A	1A	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
08	03	08	A1	00	18	A1	18	A1	27	27	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
09	03	09	A1	00	18	A1	18	A1	33	33	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0A	03	21	A1	00	18	A1	18	A1	3F	3F	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0B	03	22	A1	00	18	A1	18	A1	4C	4C	A2	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0C	04	23	A1	00	18	A1	18	A1	58	58	A1	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0D	05	24	A1	00	18	A1	18	A1	64	64	A1	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0E	01	25	A1	00	18	A1	18	A1	71	71	A2	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0F	01	26	A1	00	18	A1	18	A1	7C	7C	A2	79	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
10	01	27	A0	00	18	A1	18	A1	81	81	A2	78	01	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
11	01	28	A2	00	18	A0	18	A0	10	10	A2	78	01	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
12	02	29	A2	00	18	A2	18	A2	75	75	A2	78	81	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
01	02	31	9E	00	18	A2	18	A2	F0	F0	58	77	70	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
02	02	32	9E	00	18	A3	18	A3	6C	6C	57	84	80	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
03	03	33	9E	00	18	A3	18	A3	E7	E7	55	7C	80	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
04	03	34	9E	00	18	A4	18	A4	67	67	57	7A	5E	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
05	03	35	9E	00	18	A4	18	A4	E3	E3	56	79	4D	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
06	03	36	9E	00	18	A5	18	A5	5E	5E	55	78	C5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
07	04	37	9E	00	18	A5	18	A5	DA	DA	9A	6C	81	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
08	05	41	9E	00	18	A6	18	A6	56	56	9B	64	C6	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
09	01	42	9E	00	18	A6	18	A6	D1	D1	9A	54	83	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0A	01	43	9E	00	18	A7	18	A7	51	51	9B	52	61	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0B	01	44	9E	00	18	A7	18	A7	CC	CC	9B	51	D8	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0C	01	45	9E	00	18	A8	18	A8	48	48	9B	50	C7	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0D	02	46	9E	00	18	A8	18	A8	C4	C4	9B	4E	A5	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0E	02	01	9E	00	18	A9	18	A9	3F	3F	9B	4C	83	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0F	02	02	9E	00	18	A9	18	A9	BB	BB	9B	4B	72	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
10	03	03	9E	00	18	AA	18	AA	3A	3A	9B	4A	EA	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
11	03	04	9E	00	18	AA	18	AA	B6	B6	9B	49	50	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
12	03	05	9E	00	18	AB	18	AB	32	32	9B	48	84	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
01	03	06	9E	00	18	AB	18	AB	AD	AD	9B	47	FB	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
02	04	07	9E	00	18	AC	18	AC	29	29	9B	47	73	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
03	05	08	9E	00	18	AC	18	AC	A4	A4	9B	46	62	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
04	01	09	9E	00	18	AD	18	AD	24	24	9B	45	D9	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
05	01	21	9E	00	18	AD	18	AD	A0	A0	9B	45	95	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
06	01	22	9E	00	18	AE	18	AE	1B	1B	9B	44	C8	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
